[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user] method: POST, url: /user, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user] method: POST, url: /user, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/40e72465-24df-4754-8cc6-b695e794792f] method: PUT, url: /user/40e72465-24df-4754-8cc6-b695e794792f, status: 403, message: Forbidden
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/some-invalid-id] method: PUT, url: /user/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/ef42fdb5-5915-402d-8977-1ba92cf5416e] method: GET, url: /user/ef42fdb5-5915-402d-8977-1ba92cf5416e, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:33 ERROR [/user/some-invalid-id] method: DELETE, url: /user/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:34 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:06 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:06 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:09 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:11 ERROR [/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:11 ERROR [/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:11 ERROR [/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:12 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:12 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:12 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:13 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:13 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:13 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:14 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:14 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:14 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:14 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:14 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:15 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:15 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:16 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:16 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:16 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:10:16 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/artist/invalid] method: POST, url: /favs/artist/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/album/invalid] method: POST, url: /favs/album/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/track/invalid] method: POST, url: /favs/track/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:12:47 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:12:49 ERROR [/album/some-invalid-id] method: DELETE, url: /album/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:12:49 ERROR [/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:12:49 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:12:49 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:18 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:18 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:21 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:13:21 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:13:21 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:13:21 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:21 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:22 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:56 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:56 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: PUT, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:56 ERROR [/user/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /user/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:57 ERROR [/auth/signup] method: POST, url: /auth/signup, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:13:57 ERROR [/auth/login] method: POST, url: /auth/login, status: 404, message: Not Found
